source,team_slug,team_name,name,slug,position,club,date_of_birth,nationality,source_url,matched_player_id,matched_player_name,match_confidence,status,notes
Wikipedia,mexico,Mexico,Denzell García,denzell-garcia,DF,Juárez,"( 2003-08-15 ) August 15, 2003 (aged 22)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Denzell García | ( 2003-08-15 ) August 15, 2003 (aged 22) | 2 | 0 | Juárez"
Wikipedia,mexico,Mexico,Bryan González,bryan-gonzalez,DF,Guadalajara,"( 2003-04-10 ) April 10, 2003 (aged 23)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Bryan González | ( 2003-04-10 ) April 10, 2003 (aged 23) | 2 | 0 | Guadalajara"
Wikipedia,mexico,Mexico,Ramón Juárez,ramon-juarez,DF,América,"( 2001-05-03 ) May 3, 2001 (aged 25)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Ramón Juárez | ( 2001-05-03 ) May 3, 2001 (aged 25) | 2 | 0 | América"
Wikipedia,mexico,Mexico,Eduardo Águila,eduardo-aguila,DF,Atlético San Luis,"( 2002-05-17 ) May 17, 2002 (aged 24)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Eduardo Águila | ( 2002-05-17 ) May 17, 2002 (aged 24) | 1 | 0 | Atlético San Luis"
Wikipedia,mexico,Mexico,Alejandro Gómez,alejandro-gomez,DF,Tijuana,"( 2002-01-31 ) January 31, 2002 (aged 24)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Alejandro Gómez | ( 2002-01-31 ) January 31, 2002 (aged 24) | 1 | 0 | Tijuana"
Wikipedia,mexico,Mexico,Luis Rey,luis-rey,DF,Puebla,"( 2002-09-14 ) September 14, 2002 (aged 23)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 2 DF | Luis Rey | ( 2002-09-14 ) September 14, 2002 (aged 23) | 0 | 0 | Puebla"
Wikipedia,mexico,Mexico,Edson Álvarez ( captain ),edson-alvarez-captain,MF,Fenerbahçe,"( 1997-10-24 ) October 24, 1997 (aged 28)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Edson Álvarez ( captain ) | ( 1997-10-24 ) October 24, 1997 (aged 28) | 95 | 7 | Fenerbahçe"
Wikipedia,mexico,Mexico,Orbelín Pineda,orbelin-pineda,MF,AEK Athens,"( 1996-03-24 ) March 24, 1996 (aged 30)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2813,ORBELIN PINEDA,99,matched_pending_review,"raw= | 3 MF | Orbelín Pineda | ( 1996-03-24 ) March 24, 1996 (aged 30) | 90 | 12 | AEK Athens"
Wikipedia,mexico,Mexico,Carlos Rodríguez,carlos-rodriguez,MF,Cruz Azul,"( 1997-01-03 ) January 3, 1997 (aged 29)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2839,CARLOS RODRIGUEZ,99,matched_pending_review,"raw= | 3 MF | Carlos Rodríguez | ( 1997-01-03 ) January 3, 1997 (aged 29) | 67 | 0 | Cruz Azul"
Wikipedia,mexico,Mexico,Roberto Alvarado,roberto-alvarado,MF,Guadalajara,"( 1998-09-07 ) September 7, 1998 (aged 27)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2894,ROBERTO ALVARADO,99,matched_pending_review,"raw= | 3 MF | Roberto Alvarado | ( 1998-09-07 ) September 7, 1998 (aged 27) | 65 | 5 | Guadalajara"
Wikipedia,mexico,Mexico,Luis Romo,luis-romo,MF,Guadalajara,"( 1995-06-05 ) June 5, 1995 (aged 31)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Luis Romo | ( 1995-06-05 ) June 5, 1995 (aged 31) | 60 | 4 | Guadalajara"
Wikipedia,mexico,Mexico,Luis Chávez,luis-chavez,MF,Dynamo Moscow,"( 1996-01-15 ) January 15, 1996 (aged 30)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Luis Chávez | ( 1996-01-15 ) January 15, 1996 (aged 30) | 42 | 4 | Dynamo Moscow"
Wikipedia,mexico,Mexico,Érick Sánchez,erick-sanchez,MF,América,"( 1999-09-27 ) September 27, 1999 (aged 26)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2825,ERICK SANCHEZ,99,matched_pending_review,"raw= | 3 MF | Érick Sánchez | ( 1999-09-27 ) September 27, 1999 (aged 26) | 38 | 3 | América"
Wikipedia,mexico,Mexico,Diego Lainez,diego-lainez,MF,UANL,"( 2000-06-09 ) June 9, 2000 (aged 26)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2817,DIEGO LAINEZ,99,matched_pending_review,"raw= | 3 MF | Diego Lainez | ( 2000-06-09 ) June 9, 2000 (aged 26) | 33 | 3 | UANL"
Wikipedia,mexico,Mexico,Érik Lira,erik-lira,MF,Cruz Azul,"( 2000-05-08 ) May 8, 2000 (aged 26)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Érik Lira | ( 2000-05-08 ) May 8, 2000 (aged 26) | 22 | 0 | Cruz Azul"
Wikipedia,mexico,Mexico,Marcel Ruiz,marcel-ruiz,MF,Toluca,"( 2000-10-26 ) October 26, 2000 (aged 25)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2843,MARCEL RUIZ,99,matched_pending_review,"raw= | 3 MF | Marcel Ruiz | ( 2000-10-26 ) October 26, 2000 (aged 25) | 17 | 0 | Toluca"
Wikipedia,mexico,Mexico,Efraín Álvarez,efrain-alvarez,MF,Guadalajara,"( 2002-06-19 ) June 19, 2002 (aged 23)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Efraín Álvarez | ( 2002-06-19 ) June 19, 2002 (aged 23) | 7 | 1 | Guadalajara"
Wikipedia,mexico,Mexico,Brian Gutiérrez,brian-gutierrez,MF,Guadalajara,"( 2003-06-17 ) June 17, 2003 (aged 22)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Brian Gutiérrez | ( 2003-06-17 ) June 17, 2003 (aged 22) | 5 | 1 | Guadalajara"
Wikipedia,mexico,Mexico,Alexis Gutiérrez,alexis-gutierrez,MF,América,"( 2001-02-26 ) February 26, 2001 (aged 25)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Alexis Gutiérrez | ( 2001-02-26 ) February 26, 2001 (aged 25) | 5 | 0 | América"
Wikipedia,mexico,Mexico,Gilberto Mora,gilberto-mora,MF,Tijuana,"( 2008-10-14 ) October 14, 2008 (aged 17)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Gilberto Mora | ( 2008-10-14 ) October 14, 2008 (aged 17) | 5 | 0 | Tijuana"
Wikipedia,mexico,Mexico,Obed Vargas,obed-vargas,MF,Atlético Madrid,"( 2005-08-05 ) August 5, 2005 (aged 20)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Obed Vargas | ( 2005-08-05 ) August 5, 2005 (aged 20) | 5 | 0 | Atlético Madrid"
Wikipedia,mexico,Mexico,Jesús Ricardo Angulo,jesus-ricardo-angulo,MF,Toluca,"( 1997-02-20 ) February 20, 1997 (aged 29)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Jesús Ricardo Angulo | ( 1997-02-20 ) February 20, 1997 (aged 29) | 3 | 1 | Toluca"
Wikipedia,mexico,Mexico,Jordán Carrillo,jordan-carrillo,MF,UNAM,"( 2001-11-30 ) November 30, 2001 (aged 24)",Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,,,0,pending_review,"raw= | 3 MF | Jordán Carrillo | ( 2001-11-30 ) November 30, 2001 (aged 24) | 2 | 0 | UNAM"
