team_slug,player_slug,player_name,wikidata_id,commons_file,image_url,license,attribution,local_path,storage_path,status,notes
south-korea,lee-dong-gyeong,Lee Dong-gyeong,Q62961021,250303 FC 서울 vs 김천 (이동경).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/250303_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B9%80%EC%B2%9C_%28%EC%9D%B4%EB%8F%99%EA%B2%BD%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,Wikimedia Commons metadata review required,assets/worldcup-assets/players/south-korea/lee-dong-gyeong.webp,players/south-korea/lee-dong-gyeong.webp,downloaded,
south-korea,bae-jun-ho,Bae Jun-ho,Q118978780,배준호vs FC 서울.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/%EB%B0%B0%EC%A4%80%ED%98%B8vs_FC_%EC%84%9C%EC%9A%B8.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,Wikimedia Commons metadata review required,assets/worldcup-assets/players/south-korea/bae-jun-ho.webp,players/south-korea/bae-jun-ho.webp,downloaded,
south-korea,eom-ji-sung,Eom Ji-sung,Q105896342,230917 FC 서울 vs 광주 FC (엄지성).jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28%EC%97%84%EC%A7%80%EC%84%B1%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,Wikimedia Commons metadata review required,assets/worldcup-assets/players/south-korea/eom-ji-sung.webp,players/south-korea/eom-ji-sung.webp,error,HTTP 429 descargando https://upload.wikimedia.org/wikipedia/commons/7/7f/230917_FC_%EC%84%9C%EC%9A%B8_vs_%EA%B4%91%EC%A3%BC_FC_%28%EC%97%84%EC%A7%80%EC%84%B1%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
south-korea,yang-hyun-jun,Yang Hyun-jun,Q113127167,Celtic-20240722-062 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Celtic-20240722-062_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,Wikimedia Commons metadata review required,assets/worldcup-assets/players/south-korea/yang-hyun-jun.webp,players/south-korea/yang-hyun-jun.webp,error,HTTP 429 descargando https://upload.wikimedia.org/wikipedia/commons/a/a6/Celtic-20240722-062_%28cropped%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
south-korea,son-heung-min-captain,Son Heung-min ( captain ),,,,,,,,no_image,
south-korea,cho-gue-sung,Cho Gue-sung,,,,,,,,no_image,
south-korea,oh-hyeon-gyu,Oh Hyeon-gyu,,,,,,,,no_image,
bosnia-and-herzegovina,nikola-vasilj,Nikola Vasilj,,,,,,,,no_image,
bosnia-and-herzegovina,martin-zlomislic,Martin Zlomislić,,,,,,,,no_image,
bosnia-and-herzegovina,osman-hadzikic,Osman Hadžikić,,,,,,,,no_image,
bosnia-and-herzegovina,sead-kolasinac,Sead Kolašinac,,,,,,,,no_image,
bosnia-and-herzegovina,dennis-hadzikadunic,Dennis Hadžikadunić,,,,,,,,no_image,
bosnia-and-herzegovina,amar-dedic,Amar Dedić,,,,,,,,no_image,
bosnia-and-herzegovina,nikola-katic,Nikola Katić,,,,,,,,no_image,
bosnia-and-herzegovina,tarik-muharemovic,Tarik Muharemović,,,,,,,,no_image,
bosnia-and-herzegovina,nihad-mujakic,Nihad Mujakić,,,,,,,,no_image,
bosnia-and-herzegovina,stjepan-radeljic,Stjepan Radeljić,,,,,,,,no_image,
bosnia-and-herzegovina,nidal-celik,Nidal Čelik,,,,,,,,no_image,
bosnia-and-herzegovina,amir-hadziahmetovic,Amir Hadžiahmetović,,,,,,,,no_image,
bosnia-and-herzegovina,benjamin-tahirovic,Benjamin Tahirović,,,,,,,,no_image,
bosnia-and-herzegovina,armin-gigovic,Armin Gigović,,,,,,,,no_image,
bosnia-and-herzegovina,dzenis-burnic,Dženis Burnić,,,,,,,,no_image,
bosnia-and-herzegovina,ivan-basic,Ivan Bašić,,,,,,,,no_image,
bosnia-and-herzegovina,esmir-bajraktarevic,Esmir Bajraktarević,,,,,,,,no_image,
bosnia-and-herzegovina,amar-memic,Amar Memić,,,,,,,,no_image,
bosnia-and-herzegovina,ivan-sunjic,Ivan Šunjić,,,,,,,,no_image,
bosnia-and-herzegovina,kerim-alajbegovic,Kerim Alajbegović,,,,,,,,no_image,
bosnia-and-herzegovina,ermin-mahmic,Ermin Mahmić,,,,,,,,no_image,
bosnia-and-herzegovina,edin-dzeko-captain,Edin Džeko ( captain ),,,,,,,,no_image,
bosnia-and-herzegovina,ermedin-demirovic,Ermedin Demirović,,,,,,,,no_image,
bosnia-and-herzegovina,samed-bazdar,Samed Baždar,,,,,,,,no_image,
bosnia-and-herzegovina,haris-tabakovic,Haris Tabaković,,,,,,,,no_image,
bosnia-and-herzegovina,jovo-lukic,Jovo Lukić,,,,,,,,no_image,
qatar,meshaal-barsham,Meshaal Barsham,,,,,,,,no_image,
