id,team_id,team_slug,name,slug,position,club,nationality,source_url,status,reason,action
3828,14,mexico,Julián Araujo,julian-araujo,DF,Celtic,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3830,14,mexico,Víctor Guzmán,victor-guzman,DF,Monterrey,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3832,14,mexico,Everardo López,everardo-lopez,DF,Toluca,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3834,14,mexico,Bryan González,bryan-gonzalez,DF,Guadalajara,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3836,14,mexico,Eduardo Águila,eduardo-aguila,DF,Atlético San Luis,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3838,14,mexico,Luis Rey,luis-rey,DF,Puebla,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3840,14,mexico,Orbelín Pineda,orbelin-pineda,MF,AEK Athens,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3842,14,mexico,Roberto Alvarado,roberto-alvarado,MF,Guadalajara,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3844,14,mexico,Luis Chávez,luis-chavez,MF,Dynamo Moscow,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3846,14,mexico,Diego Lainez,diego-lainez,MF,UANL,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3848,14,mexico,Marcel Ruiz,marcel-ruiz,MF,Toluca,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3850,14,mexico,Brian Gutiérrez,brian-gutierrez,MF,Guadalajara,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3852,14,mexico,Gilberto Mora,gilberto-mora,MF,Tijuana,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3854,14,mexico,Jesús Ricardo Angulo,jesus-ricardo-angulo,MF,Toluca,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3856,14,mexico,Kevin Castañeda,kevin-castaneda,MF,Tijuana,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3858,14,mexico,Jorge Ruvalcaba,jorge-ruvalcaba,MF,New York Red Bulls,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3860,14,mexico,Jeremy Márquez,jeremy-marquez,MF,Cruz Azul,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3862,14,mexico,Isaías Violante,isaias-violante,MF,América,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3864,14,mexico,Alexis Vega,alexis-vega,FW,Toluca,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3866,14,mexico,César Huerta,cesar-huerta,FW,Anderlecht,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3868,14,mexico,Germán Berterame,german-berterame,FW,Inter Miami CF,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3870,14,mexico,Armando González,armando-gonzalez,FW,Guadalajara,Mexico,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3872,54,south-korea,Jo Hyeon-woo,jo-hyeon-woo,GK,Ulsan HD,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3874,54,south-korea,Kim Min-jae,kim-min-jae,DF,Bayern Munich,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3876,54,south-korea,Seol Young-woo,seol-young-woo,DF,Red Star Belgrade,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3878,54,south-korea,Lee Tae-seok,lee-tae-seok,DF,Austria Wien,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3880,54,south-korea,Kim Tae-hyeon,kim-tae-hyeon,DF,Kashima Antlers,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3882,54,south-korea,Jens Castrop,jens-castrop,DF,Borussia Mönchengladbach,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3884,54,south-korea,Lee Jae-sung,lee-jae-sung,MF,Mainz 05,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3886,54,south-korea,Hwang In-beom,hwang-in-beom,MF,Feyenoord,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3887,54,south-korea,Lee Kang-in,lee-kang-in,MF,Paris Saint-Germain,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3889,54,south-korea,Kim Jin-gyu,kim-jin-gyu,MF,Jeonbuk Hyundai Motors,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3891,54,south-korea,Bae Jun-ho,bae-jun-ho,MF,Stoke City,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3893,54,south-korea,Yang Hyun-jun,yang-hyun-jun,MF,Celtic,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3895,54,south-korea,Cho Gue-sung,cho-gue-sung,FW,Midtjylland,South Korea,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3897,57,bosnia-and-herzegovina,Nikola Vasilj,nikola-vasilj,GK,FC St. Pauli,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3899,57,bosnia-and-herzegovina,Osman Hadžikić,osman-hadzikic,GK,Slaven Belupo,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3901,57,bosnia-and-herzegovina,Dennis Hadžikadunić,dennis-hadzikadunic,DF,Sampdoria,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3903,57,bosnia-and-herzegovina,Nikola Katić,nikola-katic,DF,Schalke 04,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3905,57,bosnia-and-herzegovina,Nihad Mujakić,nihad-mujakic,DF,Gaziantep,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3907,57,bosnia-and-herzegovina,Nidal Čelik,nidal-celik,DF,Lens,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3909,57,bosnia-and-herzegovina,Benjamin Tahirović,benjamin-tahirovic,MF,Brøndby,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3913,57,bosnia-and-herzegovina,Esmir Bajraktarević,esmir-bajraktarevic,MF,PSV Eindhoven,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3915,57,bosnia-and-herzegovina,Ivan Šunjić,ivan-sunjic,MF,Pafos,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3917,57,bosnia-and-herzegovina,Ermin Mahmić,ermin-mahmic,MF,Slovan Liberec,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3919,57,bosnia-and-herzegovina,Ermedin Demirović,ermedin-demirovic,FW,VfB Stuttgart,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3921,57,bosnia-and-herzegovina,Haris Tabaković,haris-tabakovic,FW,Borussia Mönchengladbach,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3923,41,qatar,Meshaal Barsham,meshaal-barsham,GK,Al-Sadd,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3925,41,qatar,Mahmud Abunada,mahmud-abunada,GK,Al-Rayyan,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3927,41,qatar,Boualem Khoukhi,boualem-khoukhi,DF,Al-Sadd,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3929,41,qatar,Tarek Salman,tarek-salman,DF,Al-Sadd,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3931,41,qatar,Homam Ahmed,homam-ahmed,DF,Cultural Leonesa,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3933,41,qatar,Sultan Al-Brake,sultan-al-brake,DF,Al-Duhail,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3935,41,qatar,Ayoub Al-Oui,ayoub-al-oui,DF,Al-Gharafa,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3937,41,qatar,Rayyan Al-Ali,rayyan-al-ali,DF,Al-Gharafa,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3939,41,qatar,Abdulaziz Hatem,abdulaziz-hatem,MF,Al-Rayyan,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3941,41,qatar,Assim Madibo,assim-madibo,MF,Al-Wakrah,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3943,41,qatar,Ahmed Fathy,ahmed-fathy,MF,Al-Arabi,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3945,41,qatar,Mohamed Al-Mannai,mohamed-al-mannai,MF,Al-Shamal,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3947,41,qatar,Hassan Al-Haydos ( captain ),hassan-al-haydos-captain,FW,Al-Sadd,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3949,41,qatar,Akram Afif,akram-afif,FW,Al-Sadd,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
3951,41,qatar,Mohammed Muntari,mohammed-muntari,FW,Al-Gharafa,Qatar,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,pending_review,,keep
